0,1,2,3,4,5,6,7
"Cleveland County, Oklahoma",40027,0,74,-74,50,28,033
"Comanche County, Oklahoma",40031,0,28,-28,50,28,033
"Jackson County, Oklahoma",40065,0,8,-8,50,28,033
"Sequoyah County, Oklahoma",40135,8,0,8,50,28,033
"Tulsa County, Oklahoma",40143,16,0,16,50,28,033
"Wagoner County, Oklahoma",40145,0,8,-8,50,28,033
"Forest County, Pennsylvania",42053,6,0,6,50,28,033
"Berkeley County, South Carolina",45015,0,14,-14,50,28,033
"Greenville County, South Carolina",45045,0,24,-24,50,28,033
"Richland County, South Carolina",45079,0,33,-33,50,28,033
"McCook County, South Dakota",46087,0,11,-11,50,28,033
"Pennington County, South Dakota",46103,0,15,-15,50,28,033
"Davidson County, Tennessee",47037,75,65,10,50,28,033
"Dyer County, Tennessee",47045,0,116,-116,50,28,033
"Fayette County, Tennessee",47047,23,199,-176,50,28,033
"Grainger County, Tennessee",47057,0,4,-4,50,28,033
"Hamilton County, Tennessee",47065,7,6,1,50,28,033
"Haywood County, Tennessee",47075,0,3,-3,50,28,033
"Houston County, Tennessee",47083,31,0,31,50,28,033
"Knox County, Tennessee",47093,0,7,-7,50,28,033
"McNairy County, Tennessee",47109,0,17,-17,50,28,033
"Monroe County, Tennessee",47123,0,1,-1,50,28,033
"Montgomery County, Tennessee",47125,10,2,8,50,28,033
"Rutherford County, Tennessee",47149,7,76,-69,50,28,033
"Sevier County, Tennessee",47155,0,136,-136,50,28,033
"Shelby County, Tennessee",47157,3513,3221,292,50,28,033
"Sullivan County, Tennessee",47163,6,0,6,50,28,033
"Sumner County, Tennessee",47165,7,0,7,50,28,033
"Tipton County, Tennessee",47167,256,41,215,50,28,033
"Warren County, Tennessee",47177,7,0,7,50,28,033
"Washington County, Tennessee",47179,0,9,-9,50,28,033
"Williamson County, Tennessee",47187,0,80,-80,50,28,033
"Aransas County, Texas",48007,0,20,-20,50,28,033
"Atascosa County, Texas",48013,0,27,-27,50,28,033
"Bexar County, Texas",48029,0,8,-8,50,28,033
"Cameron County, Texas",48061,0,1,-1,50,28,033
"Collin County, Texas",48085,10,0,10,50,28,033
"Dallas County, Texas",48113,127,92,35,50,28,033
"El Paso County, Texas",48141,125,0,125,50,28,033
"Gregg County, Texas",48183,29,0,29,50,28,033
"Harris County, Texas",48201,11,143,-132,50,28,033
"Harrison County, Texas",48203,0,9,-9,50,28,033
"Hays County, Texas",48209,11,0,11,50,28,033
"Howard County, Texas",48227,0,30,-30,50,28,033
"Lamar County, Texas",48277,15,0,15,50,28,033
"McCulloch County, Texas",48307,0,3,-3,50,28,033
"Montgomery County, Texas",48339,0,30,-30,50,28,033
"Tarrant County, Texas",48439,16,9,7,50,28,033
"Tom Green County, Texas",48451,0,2,-2,50,28,033
"Travis County, Texas",48453,56,0,56,50,28,033
"Victoria County, Texas",48469,62,18,44,50,28,033
"Wichita County, Texas",48485,0,17,-17,50,28,033
"Davis County, Utah",49011,0,25,-25,50,28,033
"Fairfax County, Virginia",51059,9,0,9,50,28,033
"Franklin County, Virginia",51067,0,46,-46,50,28,033
"Prince William County, Virginia",51153,1,0,1,50,28,033
"Chesapeake city, Virginia",51550,62,0,62,50,28,033
"Lynchburg city, Virginia",51680,0,18,-18,50,28,033
"Clallam County, Washington",53009,0,17,-17,50,28,033
"Douglas County, Washington",53017,40,0,40,50,28,033
"Pierce County, Washington",53053,9,10,-1,50,28,033
"Jefferson County, Wisconsin",55055,6,0,6,50,28,033
"Racine County, Wisconsin",55101,70,0,70,50,28,033
"Sauk County, Wisconsin",55111,12,0,12,50,28,033
"Waukesha County, Wisconsin",55133,15,0,15,50,28,033
"Laramie County, Wyoming",56021,5,0,5,50,28,033
"Sheridan County, Wyoming",56033,13,0,13,50,28,033
"Guaynabo Municipio, Puerto Rico",72061,0,17,-17,50,28,033
